object,,start,start_sec,end,end_sec,duration,duration_sec
face,,04:10.3,250.28,04:12.4,252.417,00:02.1,2.137
face,,04:18.3,258.346,04:19.8,259.825,00:01.5,1.479
face,,04:21.6,261.601,04:23.0,263.047,00:01.4,1.446
face,,04:24.7,264.655,04:25.7,265.704,00:01.0,1.049
face,,04:25.9,265.935,04:27.1,267.082,00:01.1,1.147
face,,04:28.0,268.034,04:28.3,268.259,00:00.2,0.225
dice,,00:03.3,3.307,00:05.1,5.147,00:01.8,1.84
dice,,00:22.1,22.114,00:24.5,24.516,00:02.4,2.402
dice,,00:39.4,39.41,00:41.7,41.669,00:02.3,2.259
dice,,00:48.2,48.249,00:50.6,50.588,00:02.3,2.339
dice,,01:11.7,71.662,01:13.9,73.902,00:02.2,2.24
dice,,01:33.4,93.399,01:35.5,95.538,00:02.1,2.139
dice,,01:51.2,111.162,01:53.4,113.433,00:02.3,2.271
dice,,02:11.2,131.24,02:13.1,133.115,00:01.9,1.875
dice,,02:27.5,147.534,02:28.8,148.847,00:01.3,1.313
dice,,02:47.6,167.551,02:49.3,169.261,00:01.7,1.71
dice,,02:51.6,171.567,02:53.0,172.981,00:01.4,1.414
dice,,03:02.9,182.912,03:03.9,183.895,00:01.0,0.983
dice,,03:19.7,199.671,03:20.6,200.621,00:01.0,0.95
dice,,03:28.8,208.77,03:30.3,210.314,00:01.5,1.544
dice,,04:06.5,246.525,04:10.1,250.082,00:03.6,3.557
dice,,04:20.0,259.956,04:21.4,261.435,00:01.5,1.479
key,,00:19.9,19.878,00:22.0,22.018,00:02.1,2.14
key,,00:36.5,36.544,00:39.3,39.278,00:02.7,2.734
key,,00:50.7,50.687,00:52.9,52.86,00:02.2,2.173
key,,01:14.0,74.032,01:16.1,76.073,00:02.0,2.041
key,,01:35.6,95.637,01:38.2,98.173,00:02.5,2.536
key,,01:40.6,100.61,01:42.5,102.451,00:01.8,1.841
key,,01:55.8,115.764,01:57.9,117.938,00:02.2,2.174
key,,02:07.0,126.995,02:09.0,129.002,00:02.0,2.007
key,,02:25.8,145.792,02:27.4,147.402,00:01.6,1.61
key,,02:29.0,148.976,02:30.0,150.026,00:01.1,1.05
key,,02:38.0,157.95,02:39.6,159.56,00:01.6,1.61
key,,02:49.4,169.393,02:51.4,171.435,00:02.0,2.042
key,,03:04.0,184.027,03:06.1,186.066,00:02.0,2.039
key,,03:22.1,202.134,03:23.5,203.548,00:01.4,1.414
key,,03:25.1,205.123,03:26.1,206.103,00:01.0,0.98
key,,03:41.0,220.987,03:43.0,222.991,00:02.0,2.004
key,,04:04.0,244.02,04:06.4,246.426,00:02.4,2.406
key,,04:23.2,263.179,04:24.5,264.526,00:01.3,1.347
map,,00:10.0,9.978,00:12.7,12.744,00:02.8,2.766
map,,00:33.3,33.35,00:36.4,36.412,00:03.1,3.062
map,,00:58.4,58.39,01:02.6,62.575,00:04.2,4.185
map,,01:18.1,78.109,01:21.3,81.304,00:03.2,3.195
map,,01:38.4,98.371,01:40.5,100.478,00:02.1,2.107
map,,01:42.7,102.703,01:44.4,104.413,00:01.7,1.71
map,,02:03.1,123.139,02:06.8,126.797,00:03.7,3.658
map,,02:23.0,142.959,02:25.7,145.66,00:02.7,2.701
map,,02:36.3,156.303,02:37.8,157.785,00:01.5,1.482
map,,03:06.3,186.294,03:10.3,190.313,00:04.0,4.019
map,,03:26.3,206.334,03:28.3,208.341,00:02.0,2.007
map,,03:37.2,217.17,03:40.8,220.83,00:03.7,3.66
map,,04:00.7,240.691,04:03.8,243.789,00:03.1,3.098
map,,04:30.5,270.46,04:33.2,273.228,00:02.8,2.768
ball,,00:13.0,13.008,00:15.0,15.005,00:02.0,1.997
ball,,00:29.3,29.314,00:31.1,31.117,00:01.8,1.803
ball,,01:02.8,62.771,01:06.4,66.396,00:03.6,3.625
ball,,01:21.5,81.535,01:24.0,84.001,00:02.5,2.466
ball,,01:27.6,87.578,01:29.3,89.319,00:01.7,1.741
ball,,01:44.7,104.668,01:46.7,106.708,00:02.0,2.04
ball,,02:00.4,120.374,02:02.9,122.877,00:02.5,2.503
ball,,02:18.5,138.514,02:20.9,140.884,00:02.4,2.37
ball,,02:34.8,154.826,02:36.1,156.106,00:01.3,1.28
ball,,02:41.4,161.436,02:43.4,163.38,00:01.9,1.944
ball,,02:55.1,175.088,02:56.7,176.697,00:01.6,1.609
ball,,03:12.3,192.314,03:14.3,194.32,00:02.0,2.006
ball,,03:45.3,225.326,03:47.6,227.599,00:02.3,2.273
ball,,04:12.6,252.615,04:15.4,255.417,00:02.8,2.802
ball,,04:28.6,268.611,04:30.0,269.957,00:01.3,1.346
card,,00:07.3,7.35,00:09.6,9.622,00:02.3,2.272
card,,00:26.9,26.879,00:29.1,29.149,00:02.3,2.27
card,,00:43.0,43.018,00:45.2,45.224,00:02.2,2.206
card,,01:07.5,67.549,01:09.5,69.523,00:02.0,1.974
card,,01:25.1,85.085,01:27.4,87.354,00:02.3,2.269
card,,01:46.9,106.897,01:48.7,108.736,00:01.8,1.839
card,,02:15.4,135.386,02:17.3,137.329,00:01.9,1.943
card,,02:33.3,153.281,02:34.6,154.629,00:01.3,1.348
card,,02:43.7,163.702,02:45.6,165.609,00:01.9,1.907
card,,02:57.0,176.994,02:59.0,179.034,00:02.0,2.04
card,,03:17.2,197.178,03:18.4,198.36,00:01.2,1.182
card,,03:32.5,212.488,03:33.2,213.227,00:00.7,0.739
card,,03:47.9,227.856,03:49.4,229.433,00:01.6,1.577
card,,04:15.6,255.615,04:18.2,258.249,00:02.6,2.634
card,,04:27.2,267.181,04:27.9,267.935,00:00.8,0.754
